[2016-07-26 08:52:07,011][clinicSoft][INFO][2364][[OK] log4py]
[2016-07-26 08:59:10,119][clinicSoft][INFO][6784][## do_after_request ##]
[2016-07-26 08:59:15,003][clinicSoft][INFO][6784][## do_before_request ##]
[2016-07-26 08:59:15,003][clinicSoft][INFO][6784][## security_filter-> valida_token ##]
[2016-07-26 08:59:15,003][clinicSoft][INFO][6784][Token correcto...]
[2016-07-26 08:59:15,004][clinicSoft][INFO][6784][## do_after_request ##]
[2016-07-26 08:59:15,019][clinicSoft][INFO][6784][## do_before_request ##]
[2016-07-26 08:59:15,019][clinicSoft][INFO][6784][## security_filter-> valida_token ##]
[2016-07-26 08:59:15,020][clinicSoft][INFO][6784][Token correcto...]
[2016-07-26 08:59:15,020][clinicSoft][INFO][6784][##  busca_medicament  ##]
[2016-07-26 08:59:15,021][clinicSoft][INFO][6784][## buscar_medicamento ##]
[2016-07-26 08:59:15,021][clinicSoft][INFO][6784][## consultar_medicamento  ##]
[2016-07-26 08:59:15,025][clinicSoft][INFO][6784][## do_after_request ##]
[2016-07-26 08:59:26,376][clinicSoft][INFO][6784][## do_before_request ##]
[2016-07-26 08:59:26,376][clinicSoft][INFO][6784][## security_filter-> valida_token ##]
[2016-07-26 08:59:26,377][clinicSoft][INFO][6784][Token correcto...]
[2016-07-26 08:59:26,377][clinicSoft][INFO][6784][## do_after_request ##]
[2016-07-26 08:59:26,386][clinicSoft][INFO][6784][## do_before_request ##]
[2016-07-26 08:59:26,386][clinicSoft][INFO][6784][## security_filter-> valida_token ##]
[2016-07-26 08:59:26,387][clinicSoft][INFO][6784][Token correcto...]
[2016-07-26 08:59:26,387][clinicSoft][INFO][6784][##  busca_medicament  ##]
[2016-07-26 08:59:26,387][clinicSoft][INFO][6784][## buscar_medicamento ##]
[2016-07-26 08:59:26,388][clinicSoft][INFO][6784][## consultar_medicamento  ##]
[2016-07-26 08:59:26,392][clinicSoft][INFO][6784][## do_after_request ##]
